Generation:	1504	Best fitness:	123.61360544217688	Average fitness:	315.3930340136054	Fitness standard deviation:	50.289770953252635	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1520	Best fitness:	123.61360544217688	Average fitness:	316.56103401360537	Fitness standard deviation:	48.373607700472206	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1536	Best fitness:	123.61360544217688	Average fitness:	319.2124625850341	Fitness standard deviation:	45.96750261492418	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1552	Best fitness:	123.61360544217688	Average fitness:	318.6381768707483	Fitness standard deviation:	54.25373975937097	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1568	Best fitness:	123.61360544217688	Average fitness:	324.65531972789125	Fitness standard deviation:	54.35104586343284	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1584	Best fitness:	123.61360544217688	Average fitness:	318.1158911564627	Fitness standard deviation:	46.633866327520614	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1600	Best fitness:	123.61360544217688	Average fitness:	315.036462585034	Fitness standard deviation:	51.535774299539355	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1616	Best fitness:	123.61360544217688	Average fitness:	312.55074829931965	Fitness standard deviation:	48.22774745403102	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1632	Best fitness:	123.61360544217688	Average fitness:	305.1084625850341	Fitness standard deviation:	42.111978785429805	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1648	Best fitness:	123.61360544217688	Average fitness:	311.44789115646256	Fitness standard deviation:	49.435404647408944	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1664	Best fitness:	123.61360544217688	Average fitness:	316.62446258503394	Fitness standard deviation:	54.087299920912066	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1680	Best fitness:	123.61360544217688	Average fitness:	327.880462585034	Fitness standard deviation:	46.17516237024367	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1696	Best fitness:	123.61360544217688	Average fitness:	323.46903401360544	Fitness standard deviation:	43.36622005615873	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1712	Best fitness:	123.61360544217688	Average fitness:	327.89303401360553	Fitness standard deviation:	48.52316906386062	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1728	Best fitness:	123.61360544217688	Average fitness:	311.63817687074834	Fitness standard deviation:	53.718060052804724	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1744	Best fitness:	123.61360544217688	Average fitness:	319.9861768707484	Fitness standard deviation:	55.23516654436441	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1760	Best fitness:	123.61360544217688	Average fitness:	317.63531972789116	Fitness standard deviation:	46.96005199732893	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
