Generation:	1328	Best fitness:	114.75646258503401	Average fitness:	260.72360544217685	Fitness standard deviation:	62.20024757152647	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1344	Best fitness:	114.75646258503401	Average fitness:	266.55217687074827	Fitness standard deviation:	58.25397824726354	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1360	Best fitness:	114.75646258503401	Average fitness:	251.7293197278912	Fitness standard deviation:	55.20841881600365	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1376	Best fitness:	114.75646258503401	Average fitness:	266.2921768707482	Fitness standard deviation:	68.8541676150339	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1392	Best fitness:	114.75646258503401	Average fitness:	256.4221768707483	Fitness standard deviation:	85.18218367902135	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1408	Best fitness:	114.75646258503401	Average fitness:	269.66360544217684	Fitness standard deviation:	49.80321674308984	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1424	Best fitness:	114.75646258503401	Average fitness:	264.7936054421769	Fitness standard deviation:	56.60479542676683	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1440	Best fitness:	114.75646258503401	Average fitness:	254.84646258503398	Fitness standard deviation:	50.03102814805049	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1456	Best fitness:	114.75646258503401	Average fitness:	278.0650340136055	Fitness standard deviation:	54.68767394607905	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1472	Best fitness:	114.75646258503401	Average fitness:	265.58931972789117	Fitness standard deviation:	55.410580493370084	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1488	Best fitness:	114.75646258503401	Average fitness:	261.246462585034	Fitness standard deviation:	67.16397131540944	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1504	Best fitness:	114.75646258503401	Average fitness:	251.10074829931972	Fitness standard deviation:	74.78489451044761	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1520	Best fitness:	114.75646258503401	Average fitness:	269.9478911564626	Fitness standard deviation:	59.85954110435938	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1536	Best fitness:	114.75646258503401	Average fitness:	269.7350340136054	Fitness standard deviation:	48.163725765266925	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1552	Best fitness:	114.75646258503401	Average fitness:	275.85789115646253	Fitness standard deviation:	65.36622948543733	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1568	Best fitness:	114.75646258503401	Average fitness:	262.90074829931973	Fitness standard deviation:	55.5290932938835	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1584	Best fitness:	114.75646258503401	Average fitness:	268.0707482993197	Fitness standard deviation:	55.09013245471054	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1600	Best fitness:	114.75646258503401	Average fitness:	251.98217687074833	Fitness standard deviation:	58.489549668365235	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1616	Best fitness:	114.75646258503401	Average fitness:	266.8921768707483	Fitness standard deviation:	50.17361765074615	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1632	Best fitness:	114.75646258503401	Average fitness:	248.86217687074827	Fitness standard deviation:	75.84568603286492	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1648	Best fitness:	114.75646258503401	Average fitness:	267.5493197278912	Fitness standard deviation:	61.88790384927529	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1664	Best fitness:	114.75646258503401	Average fitness:	266.18931972789113	Fitness standard deviation:	57.986453220927885	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1680	Best fitness:	114.75646258503401	Average fitness:	253.62931972789116	Fitness standard deviation:	75.47135392495159	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1696	Best fitness:	114.75646258503401	Average fitness:	239.53646258503395	Fitness standard deviation:	64.34510405871244	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1712	Best fitness:	114.75646258503401	Average fitness:	258.3736054421769	Fitness standard deviation:	68.77450488697814	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1728	Best fitness:	114.75646258503401	Average fitness:	276.13646258503405	Fitness standard deviation:	65.75495145474846	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1744	Best fitness:	114.75646258503401	Average fitness:	265.3021768707482	Fitness standard deviation:	47.915572774263225	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1760	Best fitness:	114.75646258503401	Average fitness:	266.25503401360544	Fitness standard deviation:	63.57258520617137	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
