Generation:	1360	Best fitness:	139.87074829931973	Average fitness:	292.87646258503406	Fitness standard deviation:	56.97791881644205	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1376	Best fitness:	139.87074829931973	Average fitness:	260.3307482993197	Fitness standard deviation:	43.09680408625423	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1392	Best fitness:	139.87074829931973	Average fitness:	287.1007482993197	Fitness standard deviation:	50.57312868409428	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1408	Best fitness:	139.87074829931973	Average fitness:	289.7121768707483	Fitness standard deviation:	60.31051045571221	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1424	Best fitness:	139.87074829931973	Average fitness:	287.02789115646254	Fitness standard deviation:	52.272493644714665	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1440	Best fitness:	139.87074829931973	Average fitness:	273.2807482993198	Fitness standard deviation:	53.21189162399775	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1456	Best fitness:	139.87074829931973	Average fitness:	273.85360544217684	Fitness standard deviation:	59.51489293977309	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1472	Best fitness:	139.87074829931973	Average fitness:	293.0178911564625	Fitness standard deviation:	49.8808836435485	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1488	Best fitness:	139.87074829931973	Average fitness:	275.8907482993197	Fitness standard deviation:	44.75059602841016	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1504	Best fitness:	139.87074829931973	Average fitness:	270.41360544217684	Fitness standard deviation:	72.51751315569028	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
