Generation:	1296	Best fitness:	155.49931972789116	Average fitness:	309.87874829931974	Fitness standard deviation:	45.640945111751115	Best genome:	A9	N6	N7	A15	A12	A7	A17	N9	A13	N3	E4	N5	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1312	Best fitness:	155.49931972789116	Average fitness:	329.6147482993198	Fitness standard deviation:	49.164308261757775	Best genome:	A9	N6	N7	A15	A12	A7	A17	N9	A13	N3	E4	N5	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1328	Best fitness:	153.4421768707483	Average fitness:	320.15189115646257	Fitness standard deviation:	49.02671437042446	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A7	A10	A16	E5	A8	
Generation:	1344	Best fitness:	153.4421768707483	Average fitness:	314.89074829931974	Fitness standard deviation:	42.90171406118589	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A7	A10	A16	E5	A8	
Generation:	1360	Best fitness:	153.4421768707483	Average fitness:	321.7347482993198	Fitness standard deviation:	53.20848652887881	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A7	A10	A16	E5	A8	
Generation:	1376	Best fitness:	153.4421768707483	Average fitness:	323.888462585034	Fitness standard deviation:	45.14309254549835	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A7	A10	A16	E5	A8	
Generation:	1392	Best fitness:	153.4421768707483	Average fitness:	323.5558911564626	Fitness standard deviation:	47.25509288695878	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A7	A10	A16	E5	A8	
Generation:	1408	Best fitness:	153.4421768707483	Average fitness:	313.499319727891	Fitness standard deviation:	38.753716135174884	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A7	A10	A16	E5	A8	
Generation:	1424	Best fitness:	153.4421768707483	Average fitness:	323.248462585034	Fitness standard deviation:	59.189298892172545	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A7	A10	A16	E5	A8	
Generation:	1440	Best fitness:	142.4421768707483	Average fitness:	312.1473197278912	Fitness standard deviation:	51.14969736858625	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1456	Best fitness:	142.4421768707483	Average fitness:	324.65817687074843	Fitness standard deviation:	52.663328110493254	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1472	Best fitness:	142.4421768707483	Average fitness:	307.28046258503394	Fitness standard deviation:	46.36617472569716	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
