Generation:	1104	Best fitness:	146.756462585034	Average fitness:	264.5793197278912	Fitness standard deviation:	51.987586116342065	Best genome:	A13	A17	N5	E4	A11	N12	E3	A15	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
Generation:	1120	Best fitness:	146.756462585034	Average fitness:	262.35074829931966	Fitness standard deviation:	54.153933733160244	Best genome:	A13	A17	N5	E4	A11	N12	E3	A15	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
Generation:	1136	Best fitness:	134.756462585034	Average fitness:	276.376462585034	Fitness standard deviation:	56.09653057772061	Best genome:	A13	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
Generation:	1152	Best fitness:	132.756462585034	Average fitness:	269.5478911564625	Fitness standard deviation:	53.66943804058169	Best genome:	A13	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	E5	A8	N9	A16	A9	N3	A7	
Generation:	1168	Best fitness:	132.756462585034	Average fitness:	279.0036054421769	Fitness standard deviation:	57.07189613611439	Best genome:	A13	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	E5	A8	N9	A16	A9	N3	A7	
Generation:	1184	Best fitness:	132.756462585034	Average fitness:	265.3750340136054	Fitness standard deviation:	48.08029022544753	Best genome:	A13	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	E5	A8	N9	A16	A9	N3	A7	
Generation:	1200	Best fitness:	132.7278911564626	Average fitness:	267.5193197278911	Fitness standard deviation:	63.15462211016349	Best genome:	A13	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	
Generation:	1216	Best fitness:	132.7278911564626	Average fitness:	282.5250340136055	Fitness standard deviation:	56.9510150417507	Best genome:	A13	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	
Generation:	1232	Best fitness:	132.7278911564626	Average fitness:	275.47931972789115	Fitness standard deviation:	52.16085646285704	Best genome:	A13	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	
Generation:	1248	Best fitness:	132.69931972789115	Average fitness:	288.1693197278911	Fitness standard deviation:	62.69918039694761	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
