Generation:	960	Best fitness:	145.67074829931974	Average fitness:	278.95360544217687	Fitness standard deviation:	53.329814688351185	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	976	Best fitness:	145.67074829931974	Average fitness:	301.32217687074825	Fitness standard deviation:	58.74759402802494	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	992	Best fitness:	145.67074829931974	Average fitness:	267.1393197278912	Fitness standard deviation:	41.87567351879921	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1008	Best fitness:	145.67074829931974	Average fitness:	265.5793197278912	Fitness standard deviation:	47.70859469910286	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1024	Best fitness:	145.67074829931974	Average fitness:	288.59074829931967	Fitness standard deviation:	49.044537526869284	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1040	Best fitness:	145.67074829931974	Average fitness:	282.1121768707483	Fitness standard deviation:	65.61807147487369	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1056	Best fitness:	145.67074829931974	Average fitness:	283.2050340136054	Fitness standard deviation:	56.14370708189796	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1072	Best fitness:	145.67074829931974	Average fitness:	265.43503401360545	Fitness standard deviation:	55.78957833700132	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1088	Best fitness:	145.67074829931974	Average fitness:	291.4793197278912	Fitness standard deviation:	57.58016388887225	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1104	Best fitness:	145.67074829931974	Average fitness:	296.33646258503404	Fitness standard deviation:	48.19910414952052	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
